1.,Der Ausbildungsbetrieb,,,,,,,,,,
1.1,"Stellung, Rechtsform und Struktur",Aufgaben und Stellung des Ausbildungsbetriebes im gesamtwirtschaftlichen Zusammenhang beschreiben,Aufbau des ausbildenden Betriebes erläutern,Art und Rechtsform des Betriebes erläutern,"Die Zusammenarbeit des Ausbildungsbetriebes mit Wirtschaftsorganisationen, Verbänden, Behörden und Gewerkschaften beschreiben",,,,,,
1.2,"Berufsbildung, Arbeits- und Tarifrecht","Rechtliche Vorschriften zur Berufsausbildung erläutern, Rechte und Pflichten aus dem Ausbildungsverhältnis erklären",Die Ausbildungsordnung mit dem betrieblichen Ausbildungsplan vergleichen,Die Notwendigkeit weiterer beruflicher Qualifizierung begründen,Berufliche Fortbildungsmöglichkeiten beschreiben und Aufstiegsmöglichkeiten nennen,Wesentliche Bestimmungen des Arbeits- und Tarifrechtes beschreiben und ihre Bedeutung für das Arbeitsverhältnis erklären,Eigene Entgeltabrechnung erläutern,"Grundlagen, Aufgaben und Arbeitsweise der betriebsverfassungsrechtlichen oder personalvertretungsrechtlichen Organe des ausbildenden Betriebes beschreiben",,,
1.3,Sicherheit und Gesundheitsschutz bei der Arbeit,Gefährdung von Sicherheit und Gesundheit am Arbeitsplatz feststellen und Maßnahmen zu ihrer Vermeidung ergreifen,Berufsbezogene Arbeitsschutz- und Unfallverhütungsvorschriften anwenden,Verhaltensweisen bei Unfällenbeschreiben sowie erste Maß nahmen einleiten,Vorschriften des vorbeugenden Brandschutzes anwenden; Verhaltensweisen bei Bränden beschreiben und Maßnahmen zur Brandbekämpfung ergreifen,,,,,,
1.4,Umweltschutz - Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich,Mögliche Umweltbelastungen durch den Ausbildungsbetrieb und seinen Beitrag zum Umweltschutz an Beispielen erklären,Für den Ausbildungsbetrieb geltende Regelungen des Umweltschutzes anwenden,Möglichkeiten der wirtschaftlichen und umweltschonenden Energie- und Materialverwendung nutzen,Abfälle vermeiden; Stoffe und Materialien einer umweltschonenden Entsorgung zuführen,,,,,,
2.,Geschäfts- und Leistungsprozesse,,,,,,,,,,
2.1,Leistungserstellung und -verwertung,Den Prozeß der Leistungserstellung im Ausbildungsbetrieb beschreiben,Wirtschaftlichkeit und Produktivität betrieblicher Leistungen beurteilen,Einfluß der Wettbewerbssituation auf die Leistungserstellung und -verwertung darstellen,Die Rolle von Kunden und Lieferanten für die Leistungserstellung und -verwertung erläutern,,,,,,
2.2,Betriebliche Organisation,Zuständigkeiten für die unterschiedlichen Aufgaben im Ausbildungsbetrieb unterscheiden,"Die Zusammenarbeit zwischen den einzelnen Organisationseinheiten beschreiben, insbesondere Informationsflüsse und Entscheidungsprozesse darstellen",Vor- und Nachteile von zentralen und dezentralen Organisationsformen erläutern,"Schwachstellen im Betriebsablauf aufzeigen, Verbesserungen vorschlagen",,,,,,
2.3,Beschaffung,Bedarf an informations- und telekommunikationstechnischen Produkten und Dienstleistungen ermitteln,Produktinformationen von Anbietern unter wirtschaftlichen und fachlichen Gesichtspunkten auswerten,Angebote einholen und vergleichen,"Bestellvorgänge planen und durchführen, Wareneingang kontrollieren",,,,,,
2.4,Markt- und Kundenbeziehungen,"Bei der Marktbeobachtung mitwirken, insbesondere Preise, Leistungen, Konditionen von Wettbewerbern vergleichen",Bedürfnisse und Kaufverhalten von Benutzern informations- und telekommunikationstechnischer Systeme feststellen sowie Zielgruppen unterscheiden,Kunden unter Beachtung von Kommunikationsregeln informieren und beraten sowie Kundeninteressen berücksichtigen,Kundenbeziehungen unter Berücksichtigung betrieblicher Grundsätze gestalten,"An der Vorbereitung von Verträgen und Vertragsverhandlungen mitwirken, über Finanzierungsmöglichkeiten informieren",An Marketing- und Verkaufsförderungsmaßnahmen mitwirken,Auswirkungen der Kundenzufriedenheit auf das Betriebsergebnis darstellen,,,
2.5,Kaufmännische Steuerung und Kontrolle,Die Notwendigkeit der Steuerung und Kontrolle der Geschäftsprozesse begründen,KostenundErträgefürerbrachteLeistungenerrechnensowie im Zeitvergleich und im Soll-Ist-Vergleich bewerten,ErgebnissederBetriebsabrechnungfürControllingzwecke auswerten,"DatenfürdieErstellungvonStatistikenbeschaffenundaufbe- reiten, in geeigneter Form darstellen und interpretieren",,,,,,
3.,Arbeitsorganisation und Arbeitstechniken,,,,,,,,,,
